@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-21 00:00,-0.171
,2015-07-21 01:00,-0.68175
,2015-07-21 02:00,-1.1625
,2015-07-21 03:00,-1.80525
,2015-07-21 04:00,-1.962
,2015-07-21 05:00,13.06225
,2015-07-21 06:00,35.0275
,2015-07-21 07:00,266.8225
,2015-07-21 08:00,507.95
,2015-07-21 09:00,672.625
,2015-07-21 10:00,812.675
,2015-07-21 11:00,902.25
,2015-07-21 12:00,955.5
,2015-07-21 13:00,941
,2015-07-21 14:00,870
,2015-07-21 15:00,763.625
,2015-07-21 16:00,621.25
,2015-07-21 17:00,441.325
,2015-07-21 18:00,253.025
,2015-07-21 19:00,73.5175
,2015-07-21 20:00,1.23275
,2015-07-21 21:00,-2.585
,2015-07-21 22:00,-2.19525
,2015-07-21 23:00,-2.47325
